Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Improved Quarry,Standard Ranger,19,,Free Action + 4 insight bonus and confirmed critical to one target that is a favored enemy (per 10 minutes),Ranger,0,,,
Master Hunter,Standard Ranger,20,,"No survival movement penalty. Gains std action vs favored enemy to save or die on single successful attack with a DC {0}, {1} times a day.",Ranger,0,,,
Urban Ranger,Urban Ranger,1,None,An urban Ranger adds Disable Device and Knowledge (local) to his list of class skills and removes Handle Animal and Knowledge (nature) from his list of class skills.,Ranger,0,,,
Favored Community,Urban Ranger,3,Favored Terrain,"Has a bond with a community that grants the following benefits: While inside the limits of this community, he gains a +2 bonus on initiative checks and Knowledge (local), Perception, Stealth, and Survival skill checks. An urban Ranger traveling through his favored community leaves no trail and cannot be tracked (although he may leave a trail if he so desires).",Ranger,0,5,,
Trapfinding,Urban Ranger,3,Endurance,+{0} to Perception skill checks made to locate traps and to Disable Device skill checks. Can use Disable Device to disarm magic traps.,Ranger,0,,,
Push Through,Urban Ranger,7,Woodland Stride,"You are never slowed by difficult terrain in favored communities. You can move through the space occupied by local citizens as if they were allies. This does not apply to creatures intent on harming you. Areas that are enchanted or magically manipulated to impede motion, however, still affect you.",Ranger,0,,,
Blend In,Urban Ranger,12,Camouflage,"You can use your Stealth bonus in place of a Disguise skill check in any of your favored communities. This disguise does not take an action to don. He must make a check whenever someone attempts to pick him out from the local citizens. If your check is successful, you blends into the crowd. While not invisible, enemies do not notice your presence and take no actions against you unless they are taking actions against the local citizens in general.",Ranger,0,,,
Invisibility Trick,Urban Ranger,17,Hide in Plain Sight,Cast Greater Invisibility on yourself as a swift action {0} times per day.,Ranger,0,,,
Hidden Blade,Knife Master,1,Trapfinding,,Rogue,1,,,
Sneak Stab,Knife Master,1,Sneak Attack,Make sneak attacks with knives at d8 and other weapons at d4.,Rogue,1,,,
Blade Sense,Knife Master,3,Trap Sense,,Rogue,1,,,
Skills,Standard Rogue,1,,"Acrobatics (Dex), Appraise (Int), Bluff (Cha), Climb (Str), Craft (Int), Diplomacy (Cha), Disable Device (Dex), Disguise (Cha), Escape Artist (Dex), Intimidate (Cha), Knowledge (dungeoneering) (Int), Knowledge (local) (Int), Linguistics (Int), Perception (Wis), Perform (Cha), Profession (Wis), Sense Motive (Wis), Sleight of Hand (Dex), Stealth (Dex), Swim (Str), and Use Magic Device (Cha)",Rogue,1,,,
Sneak Attack,Standard Rogue,1,,"Attack deal an extra {0} damage anytime her target would be denied a Dexterity bonus to AC, or when the rogue flanks her target.",Rogue,1,,,
Trapfinding,Standard Rogue,1,,+{0} to Perception skill checks made to locate traps and to Disable Device skill checks. Can use Disable Device to disarm magic traps.,Rogue,1,,,
Weapon Armor,Standard Rogue,1,,"You are proficient with all simple weapons, plus the hand crossbow, rapier, sap, shortbow, and short sword. They are proficient with light armor, but not with shields.",Rogue,1,,,
Evasion,Standard Rogue,2,,0 Damage on successful reflex saves (vs half),Rogue,1,,,
Rogue Talent,Standard Rogue,2,,"As a rogue gains experience, she learns a number of talents that aid her and confound her foes. A talent can only be selected once.",Rogue,1,,,
Trap Sense,Standard Rogue,3,,"gains an intuitive sense that alerts her to danger from traps, giving her a +{0} bonus on Reflex saves made to avoid traps and a +{0} dodge bonus to AC against attacks made by traps.",Rogue,0,3,,
Uncanny Dodge,Standard Rogue,4,,"Can react to danger before her senses would normally allow her to do so. She cannot be caught flat-footed, nor does she lose her Dex bonus to AC if the attacker is invisible. She still loses her Dexterity bonus to AC if immobilized. A rogue with this ability can still lose her Dexterity bonus to AC if an opponent successfully uses the feint action (see Combat) against her",Rogue,0,,,
Improved Uncanny Dodge,Standard Rogue,8,,"This defense denies another rogue the ability to sneak attack the character by flanking her, unless the attacker has at least four more rogue levels than the target does",Rogue,0,,,
Advanced Talents,Standard Rogue,10,,You can select talents from both regular and advanced talent lists now.,Rogue,1,,,
Master Strike,Standard Rogue,20,,"Each time the rogue deals sneak attack damage, she can choose one of the following three effect:sleep 1d4 hours, paralyzed 2d6 rounds, slain. Fort Save DC {0}.",Rogue,0,,,
Challenge,Standard Samurai,1,,"Once per day, a samurai can challenge a foe to combat. As a swift action, the samurai chooses one target within sight to challenge. The samurai’s melee attacks deal extra damage when made against the target of his challenge. This extra damage is equal to the samurai’s level. The samurai can use this ability once per day at 1st level, plus one additional time per day for every three levels beyond 1st, to a maximum of seven times per day at 19th level. Challenging a foe requires much of the samurai’s concentration. The samurai takes a –2 penalty to his Armor Class, except against attacks made by the target of his challenge. The challenge remains in effect until the target is dead or unconscious, or until the combat ends. Each samurai’s challenge also includes another effect, which is listed in the section describing the samurai’s order.",Samurai,0,,,
Mount,Standard Samurai,1,,"A samurai gains the service of a loyal and trusty steed to carry him into battle. This mount functions as a druid’s animal companion, using the samurai’s level as his effective druid level. The creature must be one that he is capable of riding and that is suitable as a mount. A Medium samurai can select a camel or a horse. A Small samurai can select a pony or a wolf, but can also select a boar or a dog if he is at least 4th level. The GM may approve other animals as suitable mounts.",Samurai,0,,,
Order,Standard Samurai,1,,"At 1st level, a samurai must pledge himself to a specific order, typically the order of the warrior. The order grants the samurai a number of bonuses, class skills, and special abilities. In addition, each order includes a number of edicts the samurai must follow. If he violates these edicts, he loses the benefits of his order’s challenge ability for 24 hours. The violation of an edict is subject to GM interpretation. Most samurai belong to the order of the warrior and are dedicated to their lord. Those without a lord, or who chose to abandon their lord, are ronin. A samurai may instead elect to dedicate himself to one of the orders listed under the cavalier description, but such samurai are rare.",Samurai,0,,,
Resolve,Standard Samurai,1,,"Starting at 1st level, the samurai gains resolve that he can call upon to endure even the most devastating wounds and aff lictions. He can use this ability once per day at 1st level, plus one additional time per day for every two samurai levels beyond 1st. Whenever the samurai defeats the target of his challenge, he regains one daily use of his resolve, up to his maximum number of uses per day. Defeating the target of his challenge usually involves reducing the target to 0 hit points or fewer, but the GM might rule that an enemy who surrenders or flees the battle is also defeated. He can use this resolve in a number of ways. Determined, Resolute, Unstoppable.",Samurai,0,,,
Weapon Expertise,Standard Samurai,3,,"At 3rd level, a samurai gains an unparalleled expertise with his chosen weapons. At 3rd level, the samurai selects either the katana, longbow, naginata, or wakizashi. The samurai can draw the selected weapon as a free action as if he had the Quick Draw feat. In addition, whenever he threatens a critical hit with the selected weapon, he gains a +2 bonus on the confirmation roll. Finally, his samurai levels stack with any fighter levels he possesses for the purposes of meeting the prerequisites for feats that specifically select his chosen weapon, such as Weapon Specialization.",Samurai,0,,,
Mounted Archer,Standard Samurai,4,,"At 4th level, the samurai becomes skilled at firing ranged weapons while mounted. A samurai only takes a –2 penalty on attack rolls with ranged weapons while his mount takes a double move. This penalty increases to –4 while his mount is running.",Samurai,0,,,
Banner,Standard Samurai,5,,"At 5th level, a samurai’s banner becomes a symbol of inspiration to his allies and companions. As long as the samurai’s banner is clearly visible, all allies within 60 feet receive a +2 morale bonus on saving throws against fear and a +1 morale bonus on attack rolls made as part of a charge. At 10th level, and every five levels thereafter, these bonuses increase by +1. The banner must be at least Small or larger and must be carried or displayed by the samurai or his mount to function.",Samurai,0,,,
Bonus Feat,Standard Samurai,6,,"At 6th level, and every six levels thereafter, a samurai gains a bonus feat in addition to those gained from normal advancement. These bonus feats must be selected from those listed as Combat Feats. The samurai must meet the requirements of these bonus feats.",Samurai,0,,,
Greater Resolve,Standard Samurai,9,,"At 9th level, a samurai can spend his resolve to negate some of his most grievous wounds. After a critical hit is confirmed against him, the samurai can spend one use of his resolve as an immediate action to treat that critical hit as a normal hit. Effects that only trigger on a critical hit do not trigger when the samurai uses this ability.",Samurai,0,,,
Honorable Stand,Standard Samurai,11,,"At 11th level, a samurai can make an honorable stand, deciding to fight the target of his challenge to the bitter end, no matter the cost. He can make an honorable stand once per day at 11th level, plus one additional time per day at 16th level. Declaring an honorable stand is a swift action. While making an honorable stand, the samurai is immune to the shaken, frightened, and panicked conditions. He does not fall unconscious while his hit point total is below 0. Finally, whenever a samurai making an honorable stand must make a saving throw, he can spend one daily use of his resolve to reroll the saving throw after the first roll is made. He must take the result of the second roll, even if it is worse. If a samurai making an honorable stand ever retreats from battle against his challenged foe, he loses the ability to make a challenge for 24 hours.",Samurai,0,,,
Demanding Challenge,Standard Samurai,12,,"At 12th level, whenever a samurai declares a challenge, his target must pay attention to the threat he poses. As long as the target is within the threatened area of the samurai, it takes a –2 penalty to its AC on attacks made by anyone other than the samurai.",Samurai,0,,,
Greater Banner,Standard Samurai,14,,"At 14th level, a samurai’s banner becomes a rallying call to his allies. All allies within 60 feet receive a +2 morale bonus on saving throws against charm and compulsion spells and effects. In addition, while his banner is displayed, the samurai can spend a standard action to wave the banner through the air, granting all allies within 60 feet an additional saving throw against any one spell or effect that is targeting them. This save is made at the original DC. Spells and effects that do not allow saving throws are unaffected by this ability. An ally cannot benefit from this ability more than once per day.",Samurai,0,,,
True Resolve,Standard Samurai,17,,"At 17th level, a samurai can spend uses of his resolve to avoid death. If he has at least two uses of his resolve remaining, he can spend all of the daily uses of his resolve that he has available to him to avoid death. Regardless of the source of the attack that would have killed him, he is left alive, at –1 hit points (or lower if he was already below –1), unconscious, and stable.",Samurai,0,,,
Last Stand,Standard Samurai,20,,"At 20th level, a samurai can make a last stand once per day whenever he makes a challenge. While this challenge is in effect, all melee and ranged weapons deal the minimum amount of damage to the samurai, unless the attack scored is a critical hit. In addition, the samurai remains conscious and is not staggered while he is below 0 hit points. While using this ability, the samurai cannot be killed by melee or ranged weapons unless they are wielded by the target of his challenge. Attacks made by opponents that are not the target of his challenge deal no damage when samurai has 0 or fewer hit points. This ability has no effect on spells, environmental effects, supernatural abilities, or any other source of damage other than melee and ranged weapons. Such sources of damage affect him normally and can kill him (although they do not cause him to fall unconscious or to become staggered if they reduce his hit points below 0). This effect lasts until the challenge ends or the samurai takes an offensive action against a target other than the target of his challenge.",Samurai,0,,,
Weapon and Armor Proficiency,Standard Shadowdancer,1,,"Shadowdancers are proficient with the club, crossbow (hand, light, or heavy), dagger (any type), dart, mace, morningstar, quarterstaff, rapier, sap, shortbow (normal and composite), and short sword Shadowdancers are proficient with light armor but not with shields",Shadowdancer,,,,
Hide in Plain Sight,Standard Shadowdancer,1,,"A shadowdancer can use the Stealth skill even while being observed As long as she is within 10 feet of an area of dim light, a shadowdancer can hide herself from view in the open without anything to actually hide behind She cannot, however, hide in her own shadow",Shadowdancer,,,,Su
Evasion,Standard Shadowdancer,2,,"At 2nd level, a shadowdancer gains evasion If exposed to any effect that normally allows her to attempt a Reflex saving throw for half damage, she takes no damage with a successful saving throw The evasion ability can only be used if the shadowdancer is wearing light armor or no armor",Shadowdancer,,,,Ex
Darkvision,Standard Shadowdancer,2,,"At 2nd level, a shadowdancer gains darkvision out to a range of 60 feet If she already has darkvision, the range increases by 30 feet",Shadowdancer,,,,Ex
Uncanny Dodge,Standard Shadowdancer,2,,"At 2nd level, a shadowdancer cannot be caught flat-footed, even if the attacker is invisible He still loses her Dexterity bonus to AC if immobilized An shadowdancer with this ability can still lose his Dexterity bonus to AC if an opponent successfully uses the feint action against him",Shadowdancer,,,,Ex
Rogue Talent,Standard Shadowdancer,3,,"At 3rd level, and every three levels thereafter, a shadowdancer gains a special ability that allows her to confound her foes This functions as the rogue talent class feature A shadowdancer cannot select an individual talent more than once If a shadowdancer has the advanced talents rogue class feature, she can chose from the advanced talents list instead",Shadowdancer,,,,
Shadow Illusion,Standard Shadowdancer,3,,"When a shadowdancer reaches 3rd level, she can create visual illusions This ability functions as silent image, using the shadowdancer's level as the caster level A shadowdancer can use this ability once per day for every two shadowdancer levels she has attained The DC for this ability is Charisma-based",Shadowdancer,,,,Sp
Summon Shadow,Standard Shadowdancer,3,,"At 3rd level, a shadowdancer can summon a shadow, an undead shade Unlike a normal shadow, this shadow's alignment matches that of the shadowdancer, and the creature cannot create spawn The summoned shadow receives a +4 bonus on Will saves made to halve the damage from positive channeled energy and the shadow cannot be turned or commanded This shadow serves as a companion to the shadowdancer and can communicate intelligibly with the shadowdancer This shadow has a number of hit points equal to half the shadowdancer's total The shadow uses the shadowdancer's base attack bonus and base save bonuses If a shadow companion is destroyed, or the shadowdancer chooses to dismiss it, the shadowdancer must attempt a DC 15 Fortitude save If the saving throw fails, the shadowdancer gains one permanent negative level A successful saving throw avoids this negative level A destroyed or dismissed shadow companion cannot be replaced for 30 days",Shadowdancer,,,,Su
Shadow Call,Standard Shadowdancer,4,,"At 4th level, a shadowdancer can create creatures and effects out of raw shadow This ability functions as shadow conjuration, using the shadowdancer's level as the caster level A shadowdancer can use this ability once per day at 4th level, plus one additional time per day for every two levels attained beyond 4th (2/day at 6th level, 3/day at 8th level, and 4/day at 10th level) Upon reaching 10th level, this ability functions as greater shadow conjuration The DC for this ability is Charisma-based",Shadowdancer,,,,Sp
Shadow Jump,Standard Shadowdancer,4,,"At 4th level, a shadowdancer gains the ability to travel between shadows as if by means of a dimension door spell The limitation is that the magical transport must begin and end in an area with at least some dim light A shadowdancer can jump up to a total of 40 feet each day in this way; this may be a single jump of 40 feet or four jumps of 10 feet each Every two levels higher than 4th, the distance a shadowdancer can jump each day doubles (80 feet at 6th, 160 feet at 8th, and 320 feet at 10th) This amount can be split among many jumps, but each one, no matter how small, counts as a 10-foot increment",Shadowdancer,,,,Su
Defensive Roll,Standard Shadowdancer,5,,"Starting at 5th level, once per day, a shadowdancer can attempt to avoid a lethal blow This functions as the rogue's advanced talent of the same name",Shadowdancer,,,,Ex
Improved Uncanny Dodge,Standard Shadowdancer,5,,"At 5th level and higher, shadowdancer can no longer be flanked This defense denies a rogue the ability to sneak attack the assassin by flanking him, unless the attacker has at least four more rogue levels than the target has assassin levels",Shadowdancer,,,,Ex
Slippery Mind,Standard Shadowdancer,7,,"At 7th level, a shadowdancer becomes resilient to enchantment spells This functions as the rogue's advanced talent of the same name",Shadowdancer,,,,Ex
Shadow Power,Standard Shadowdancer,8,,"At 8th level, a shadowdancer can use raw shadow to damage her foes This ability functions as shadow evocation, using the shadowdancer's level as the caster level A shadowdancer can use this ability once per day at 8th level, and one additional time per day upon reaching 10th level The DC for this ability is Charisma-based",Shadowdancer,,,,Sp
Improved Evasion,Standard Shadowdancer,10,,"This ability, gained at 10th level, works like evasion (see above) A shadowdancer takes no damage at all on successful saving throws against attacks that allow a Reflex saving throw for half damage What's more, she takes only half damage even if she fails her saving throw",Shadowdancer,,,,Ex
Shadow Master,Standard Shadowdancer,10,,"At 10th level, whenever a shadowdancer is in an area of dim light, she gains DR 10/— and a +2 luck bonus on all saving throws In addition, whenever she successfully scores a critical hit against a foe who is in an area of dim light, that foe is blinded for 1d6 rounds",Shadowdancer,,,,Su
Orisons,Standard Shaman,1,,"Shamans can prepare a number of orisons, or 0-level spells, each day, as noted on Table 1–8. These spells are cast like any other spell, but they are not expended when cast and may be used again.",Shaman,0,,,
Shamans Familiar,Standard Shaman,1,,"a shaman forms a close bond with a familiar tied to her chosen spirit. This familiar is her conduit to the spirit world, guiding her along the path to enlightenment. Familiars also aid a witch by granting her skill bonuses. This functions like the wizard’s arcane bond class feature, except as noted in the Shaman’s Familiar section. A shaman must commune with her familiar each day to prepare her spells. While the familiar does not store the spells like a witch’s familiar does, the familiar serves as her conduit to divine power. If a shaman’s familiar is slain, she cannot prepare new spells or use her spirit magic class feature until the familiar is replaced.",Shaman,0,,,
Spells,Standard Shaman,1,,"A shaman casts divine spells drawn from the cleric spell list. Her alignment, however, may restrict her from casting certain spells opposed to her moral or ethical beliefs; see chaotic, evil, good, and lawful spells. A shaman must choose and prepare her spells in advance. To prepare or cast a spell, a shaman must have a Wisdom score equal to at least 10 + the spell level. The saving throw DC against a shaman’s spell is 10 + the spell level + the shaman’s Wisdom modifier. Like other spellcasters, a shaman can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 1–8. In addition, she receives bonus spells per day if she has a high Wisdom score (see Table 1–3 in the Core Rulebook). Shamans commune with their familiars to prepare their spells. Each shaman must choose a time when she must spend 1 hour each day in quiet contemplation with her familiar to regain her daily allotment of spells. A shaman may prepare and cast any spell on the cleric spell list, provided that she can cast spells of that level, but she must choose which spells to prepare during her daily communion.",Shaman,0,,,
Spirit,Standard Shaman,1,,"A shaman forms a mystical bond with the spirits of the world. She forms a lasting bond with a single spirit (see Spirits), which grants a number of abilities and defines many of her other class features. At 1st level, a shaman gains the special ability granted by that spirit. She adds the spells granted by that spirit to her list of spells that she can cast using spirit magic. She also adds the hexes possessed by that spirit to her list of hexes that she can choose from with the hex and wandering hex class features. At 8th level, the shaman gains the abilities listed in the greater version of her selected spirit. At 16th level, the shaman gains the abilities listed for the true version of her selected spirit.",Shaman,0,,,
Spirit Magic,Standard Shaman,1,,"A shaman can spontaneously cast a limited number of spells per day beyond those she prepared ahead of time. She has one spell slot per day of each shaman spell level she can cast, not including orisons. She can choose these spells from the list of spells granted by her spirits (see the spirit class ability and the wandering spirit class ability) at the time she casts them. She can enhance these spells using any metamagic feat that she knows, using up a higher-level spell slot as required by the feat, although doing so increases the time to cast the spell.",Shaman,0,,,
Weapon And Armor Proficiency,Standard Shaman,1,,"A shaman is proficient with all simple weapons, and with light and medium armor.",Shaman,0,,,
Hex,Standard Shaman,2,,"A shaman learns a number of magical tricks, called hexes, that grants her powers or weakens foes. At 2nd level, a shaman learns one hex, chosen from those available from her spirit. At 10th and 18th levels, the shaman learns a new hex, chosen from those available from her spirits. Unless otherwise noted, using a hex is a standard action that doesn’t provoke attacks of opportunity. The saving throw DC to resist a hex is equal to 10 + 1/2 the shaman’s level + the shaman’s Wisdom modifier. Individual hexes are described in the description of each spirit.",Shaman,0,,,
Wandering Spirit,Standard Shaman,4,,"At 4th level, a shaman can form a temporary bond with a spirit (other than the one selected using her spirit class feature). She must make this selection each day when she prepares her spells for the day. Until she changes the wandering spirit, she gains both of the listed abilities granted by the spirit. She also adds the spells granted by that spirit to her list of spells that she can cast using spirit magic. She does not add the hexes from her wandering spirit to her list of hexes that she can choose from with the hex class feature (see the wandering hex class feature). At 12th level, she gains the abilities listed in the greater version of her wandering spirit. At 20th level, she gains the abilities listed in the true version of her wandering spirit.",Shaman,0,,,
Wandering Hex,Standard Shaman,6,,"A shaman can temporarily gain the use of one of the hexes possessed by either one of her spirits. She must make this selection each day when she prepares her spells. For the purposes of this ability, she can select any hex possessed by her spirit or wandering spirit. If she selects it from her wandering spirit, she loses the hex immediately if she selects another spirit, although she may then select a different hex to gain using this ability, either from her spirit or her new wandering spirit. At 12th level, a shaman can select two wandering hexes each day. This ability otherwise functions as the hex class feature.",Shaman,0,,,
Greater Spirit,Standard Shaman,8,,,Shaman,0,,,
True Spirit,Standard Shaman,16,,,Shaman,0,,,
Manifest,Standard Shaman,20,,A shaman manifests in some way as a pinnacle of its main spirit. The nature of this manifestation depends on the shaman’s spirit.,Shaman,0,,,
True Wandering Spirit,Standard Shaman,20,,,Shaman,0,,,
Bardic Knowledge,Standard Skald,1,,"A skald adds half his class level (minimum 1) on all Knowledge skill checks, and may make all Knowledge skill checks untrained.",Skald,1,,,
Cantrips,Standard Skald,1,,"Skalds learn a number of cantrips, or 0-level spells, as noted on Table 1–10. These spells are cast like any other spell, but they do not consume any slots and may be used again.",Skald,1,,,
Raging Song,Standard Skald,1,,"A skald is trained to use the Perform skill to inspire allies (including himself, if so desired) to feats of strength and ferocity. He can use this ability for a number of rounds per day equal to 3 + his Charisma modifier. At each level after 1st, a skald can use raging song for 1 additional round per day. Starting a raging song is a standard action, but it can be maintained each round as a free action. A raging song cannot be disrupted, but it ends immediately if the skald is killed, paralyzed, stunned, knocked unconscious, or otherwise prevented from taking a free action each round to maintain it. A raging song counts as the bard’s bardic performance special ability for any effect that limits bardic performances, such as how many can be maintained at once. A raging song is language-dependent with audible components, but not visual components. Affected allies must be able to hear the skald for the song to have any effect. A deaf skald has a 20% chance to fail when attempting to use a raging song. If he fails this check, the attempt still counts against his daily limit. Deaf creatures are immune to raging songs. When the raging song begins, each ally within range must decide whether to accept or refuse the effects of the raging song (this is not an action); unconscious allies automatically accept the song. Once this choice is made, it lasts until the song ends or the ally moves out of range (returning to the area allows the ally to decide again); the raging allies cannot decide to end the rage on their own. Allies with 30 feet gain a +2 morale bonus to Strength and Constitution and a +1 morale bonus on Will saves, but also take a –1 penalty to AC. While under the effects of skald rage, allies (other than the skald) cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration. Affected allies are fatigued for 1 round after they’re no longer affected by the song (whether because the skald stops maintaining the song or because they’re no longer in range). At 4th level and every four levels thereafter, the song’s bonuses on Will saving throws increase by 1; the penalty to AC doesn’t change. At 8th and 16th levels, the song’s bonus to Strength and Constitution increase by 2. a skald can start a raging song as a move action instead of a standard action. At 13th level, a skald can start a raging song as a swift action.",Skald,1,,,
Scribe Scroll,Standard Skald,1,,A skald gains Scribe Scroll as a bonus feat.,Skald,1,,,
Spells,Standard Skald,1,,"A skald casts arcane spells drawn from the bard spell lists (see pages 226-229 of the Pathfinder RPG Core Rulebook). He can cast any spell he knows without preparing it ahead of time. Every skald spell has a verbal component, either song, recitation, or music. To learn or cast a spell, a skald must have a Charisma score equal to at least 10 + the spell level. The saving throw DC against a skald’s spell is 10 + the spell level + the skald’s Charisma modifier.",Skald,1,,,
Weapon And Armor Proficiency,Standard Skald,1,,"A skald is proficient with all simple weapons, plus the longsword, rapier, sap, short sword, shortbow, and whip. Skalds are also proficient with light armor and shields (except tower shields). A skald can cast skald spells while wearing light armor and use a shield without incurring the normal arcane spell failure chance. Like other arcane spellcasters, a skald wearing medium or heavy armor incurs a chance of arcane spell failure if the spell in question has somatic components. A multiclass skald still incurs the normal arcane spell failure chance for arcane spells received from other classes.",Skald,1,,,
Inspired Rage,Standard Skald,1,,"At 1st level, affected allies gain a +2 morale bonus to Strength and Constitution and a +1 morale bonus on Will saving throws, but also take a –1 penalty to AC While under the effects of inspired rage, allies other than the skald cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration At 4th level and every 4 levels thereafter, the song's bonuses on Will saves increase by 1; the penalty to AC doesn't change At 8th and 16th levels, the song's bonuses to Strength and Constitution increase by 2 (Unlike the barbarian's rage ability, those affected are not fatigued after the song ends)",Skald,1,,,Su
Well Versed,Standard Skald,2,,"The skald becomes resistant to sonic effects. The skald gains a +4 bonus on saving throws made against bardic performance, as well as sonic and language-dependent effects.",Skald,1,,,
Rage Powers,Standard Skald,3,,"a skald learns a rage power (see pages 32–34 in the Pathfinder RPG Core Rulebook) which affects the skald and any allies under the inf luence of his raging song. This cannot be a rage power that requiring the creature to spend a separate action to activate it. For example, the skald cannot choose mighty swing (which requires an immediate action to activate), but can choose knockback (which is made in place of a melee attack but otherwise does not require a separate action to activate). Unless otherwise noted, a skald cannot select an individual power more than once. When using raging song, the skald chooses which rage power to add to the song, and all affected allies gain the benefit of that rage power. The skald uses his skald level as his barbarian level for the purpose of selecting rage powers which require a minimum barbarian level. If a rage power can only be used a certain number of times per rage (such as no escape), each ally affected by the raging song can use the rage power once during the raging song. If the skald has a rage power from another source, he (but not his allies) can use those rage powers during a raging song. He cannot select a duplicate rage power, unless that rage power can be taken multiple times. If the skald has the ability to rage from another source, he can use his skald rage powers during that rage. The skald learns another rage power at 6th level and every three levels thereafter. He may add multiple rage powers from this ability to a raging song at the same time.",Skald,0,,,
Song of Marching,Standard Skald,3,,"At 3rd level, a skald can use raging song to inspire his allies to move faster without suffering from fatigue By expending 1 round of raging song, the skald invigorates allies within 60 feet, who may hustle for the next hour; this movement counts as a walk (not a hustle) for the purpose of accruing nonlethal damage and fatigue The skald must continue to perform the song for the remainder of the hour, otherwise its effects end, but only 1 round of raging song is expended for that hour",Skald,0,,,Su
Spell Kenning,Standard Skald,5,,"a skald is learned in magic of clerics and wizards, and can use his own magic in an inefficient, roundabout way to duplicate those classes’ spells. Once per day, a skald can cast any spell on the cleric or sorcerer/wizard spell list as if it were one of his skald’s spells known. Casting the spell requires the skald to expend two skald spell slots of that spell level or higher. If the desired spell normally requires 1 full round or longer to cast, the casting time for the skald increases by 1 full round per spell level; otherwise, the casting time is just 1 full round per spell level. (For example, if a skald wants to use spell kenning to cast mage armor, a 1stlevel sorcerer/wizard spell, he must spend 2 full rounds casting it and expend two skald spell slots of 1st level or higher.) a skald can use this ability twice per day. At 17th level, he can use this ability three times per day.",Skald,0,,,
Song of Strength,Standard Skald,6,,"At 6th level, a skald can use raging song to inspire his allies to superhuman feats of strength Once each round while the skald uses this performance, allies within 60 feet who can hear the skald may add 1/2 the skald's level to a Strength check or Strength-based skill check",Skald,0,,,Su
Lore Master,Standard Skald,7,,"the skald becomes a master of lore, and can choose to take 10 on any Knowledge skill check that he has ranks in. Once per day, the skald can take 20 on any Knowledge skill check as a standard action. He can use this ability one additional time per day for every six levels he possesses beyond 5th, to a maximum of three times per day at 17th level.",Skald,1,,,
Dirge of Doom,Standard Skald,10,,"At 10th level, a skald can create a sense of growing dread in his enemies, causing them to become shaken This only affects enemies that are within 30 feet and able to hear the skald's performance The effect persists for as long as the enemy is within 30 feet and the skald continues his performance This cannot cause a creature to become frightened or panicked, even if the targets are already shaken from another effect This is a sonic mind-affecting fear effect, and relies on audible components",Skald,0,,,Su
Song of the Fallen,Standard Skald,14,,"At 14th level, a skald can temporarily revive dead allies to continue fighting, with the same limitations as raise dead The skald selects a dead ally within 60 feet and expends 1 round of raging song to bring that ally back to life The revived ally is alive but staggered Each round, the skald may expend another 1 round of raging song to keep that ally alive for another round The ally automatically dies if the skald ends this performance or is interrupted The skald may revive multiple allies with this ability (either at the same time or over successive rounds) but must expend 1 round of raging song per revived ally per round to maintain the effect",Skald,0,,,Su
Master Skald,Standard Skald,20,,"a skald’s raging song no longer gives allies a penalty to AC, limits what skills or abilities they can use, nor causes fatigue. The skald’s spell kenning uses the desired spell’s normal casting time, and only requires expending one skald spell slot of that spell level or higher rather than two.",Skald,0,,,
Studied Target,Standard Slayer,1,,"A slayer can as a moveaction study an opponent. The slayer then gains a +1bonus on Bluff, Knowledge, Perception, Sense Motive,and Survival checks against that opponent, and a +1bonus on weapon attack and damage rolls against it.These bonuses remain in effect until either the opponentis dead or the slayer studies a new target.At 5th, 10th, 15th, and 20th levels, the slayer’s bonusesagainst a studied target increase by +1. In addition, ateach such interval, the slayer is able to maintain thesebonuses against an additional studied target at the sametime. The slayer may lose this connection to a studiedtarget as a free action (allowing him to study anothertarget in its place).At 10th level, the slayer can study an opponent as amove or swift action.",Slayer,0,,,
Track,Standard Slayer,1,,A slayer adds half his level (minimum 1) to Survival skill checks made to follow tracks.,Slayer,1,,,
Weapon And Armor Proficiency,Standard Slayer,1,,"A slayer is proficientwith all simple and martial weapons and with lightarmor, medium armor, and shields (except tower shields).",Slayer,1,,,
Slayer Talents,Standard Slayer,2,,"As a slayer gains experience, he learns a number of talents that aid his and confound his foes. Starting at 2nd level, a slayer gains one slayer talent .He gains an additional slayer talent for every 2 levels thereafter. Unless otherwise noted, a slayer cannot selectan individual talent more than once.Talents marked with an asterisk add effects to a slayer’s sneak attack. Only one of these talents can be applied toan individual attack, and the decision of which to usemust be made before the attack roll is made.",Slayer,0,2,Start1Plus1PerCharge,
Sneak Attack,Standard Slayer,3,,"a slayer can make sneak attacks, as the rogue ability of the same name. The extra damage dealt is +1d6 and increases by +1d6 at every three levels thereafter. If a slayer gets a sneak attackfrom another source, the bonuses on damage stack.",Slayer,1,3,Start1Plus1PerCharge,
Stalker,Standard Slayer,7,,"A slayer gains his favored target bonus on Disguise, Intimidate, and Stealth checksagainst his studied opponent.",Slayer,0,,,
Advanced Talents,Standard Slayer,10,,A slayer can select one of the following advanced talents in place of a slayer talent.,Slayer,0,,,
